"lat","lng","Address"
54.970892,-1.618193,"Meeple Perk, 89 Clayton Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5PZ"
54.973228,-1.615031,"The Coffee Lounge, Unit G, Grainger Arcade, Newcastle upon Tyne, Tyne & Wear, NE1 5QE"
54.973228,-1.615031,"Eats Cafe Limited, UNIT F, GRAINGER MARKET, GRAINGER ARCADE , NEWCASTLE UPON TYNE , NE1 5QE"
54.972685,-1.614659,"Acropolis street food Grainger market , Unit 12-13, Grainger Market, Newcastle upon Tyne, Tyne & Wear, NE1 5QG"
54.972785,-1.614799,"Cafe One 2 One, 118-124, Grainger Market, Newcastle upon Tyne, Tyne & Wear, NE1 5QN"
54.97276,-1.614754,"Redheads Mac 'N' Cheese Ltd, Unit 49-50, Grainger Market, Newcastle upon Tyne, Tyne & Wear, NE1 5QQ"
54.971439,-1.615686,"eden Newcastle, The Gate, Newgate Street, Newcastle Upon Tyne, , NE1 5RE"
54.971439,-1.615686,"subway, 9 Newgate Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5RE"
54.971439,-1.615686,"Maldron Hotel Newcastle, Maldron Hotel Newcastle, 17 Newgate St, Newcastle upon Tyne, , NE1 5RE"
54.972012,-1.617183,"Point Blank Shooting, Vacant Retail Unit, Newgate Street, Newcastle upon Tyne, Tyne & Wear, NE1 5RF"
54.972244,-1.616681,"JUNSTERIK LTD, 104-108, Newgate Street, Newcastle upon Tyne, Tyne & Wear, NE1 5RQ"
54.972244,-1.616681,"KFC, 52 Newgate Street, , Newcastle Upon Tyne, , NE1 5RQ"
54.972975,-1.618312,"Mr Mulligans Newcastle, 117 Newgate Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5RZ"
54.972975,-1.618312,"Zaap Thai Street Food, Zaap, 117 Newgate Street, Newcastle upon Tyne, Tyne & Wear, NE1 5RZ"
54.973455,-1.618856,"SWEET DREAMS DESSERT CAFE LTD, 60-62, St. Andrews Street, Newcastle upon Tyne, Tyne & Wear, NE1 5SF"
54.972331,-1.618383,"Aspers Newcastle Limited, The Gate, Newgate Street, Newcastle upon Tyne, Tyne & Wear, NE1 5TG"
54.972331,-1.618383,"The Mayfair Pub & Kitchen, G11 the Gate, Newgate Street, Newcastle upon Tyne, Tyne & Wear, NE1 5TG"
54.972331,-1.618383,"The Wonderbar, Wonderbar, The Gate, Newgate Street, Newcastle Upon Tyne, Tyne & Wear, NE1 5TG"
54.971279,-1.618377,"Breadpoint, Unit 13 Low Friar Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5UE"
54.971279,-1.618377,"NUDO LEISURE LTD, 54-56, Low Friar Street, Newcastle upon Tyne, Tyne & Wear, NE1 5UE"
54.971279,-1.618377,"Buffet Box Ltd, 39 Low Friar Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5UE"
54.971478,-1.618703,"The Canny Goat, 8 Monk Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5XD"
54.971478,-1.618703,"S & L (NE) LTD, 1, Taylors Court, 1 Monk Street, Newcastle upon Tyne, Tyne & Wear, NE1 5XD"
54.970248,-1.616963,"Hotel Indigo Newcastle - Marco Pierre White Steakhouse Bar & Grill, 2-8 Fenkle Street, , Newcastle, , NE1 5XU"
54.97139,-1.610831,"Pizza Punks , Gainsborough House 34-40, Grey Street, Newcastle upon Tyne, Tyne & Wear, NE1 6AE"
54.97139,-1.610831,"Leila Lily's, 2-12 Grey Street, , Newcastle upon Tyne, , NE1 6AE"
54.97139,-1.610831,"Dacantus, 30-32, Grey Street, Newcastle upon Tyne, Tyne & Wear, NE1 6AE"
54.973977,-1.611225,"Eatali, The Stack, Pilgrim Street, Newcastle upon Tyne, Tyne & Wear, NE1 6AP"
54.972585,-1.611395,"Fat Hippo Newcastle, 2-6, Shakespeare Street, Newcastle upon Tyne, Tyne & Wear, NE1 6AQ"
54.972585,-1.611395,"LADY GREYS, 20 Shakespeare Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6AQ"
54.97168,-1.608766,"Bar 52, 55 Degrees North, Pilgrim Street, Newcastle, , NE1 6BJ"
54.97168,-1.608766,"Purple Peacock, 55 Degrees North, Pilgrim Street, Newcastle, , NE1 6BJ"
54.971392,-1.608566,"Zucchini Pasta Bar, 55 Degrees North, Pilgrim Street, Newcastle upon Tyne, Tyne & Wear, NE1 6BL"
